,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
322,Toledo,33,26,7,.788,7.05,-3.33,,17,3,,13,1,,9,5,,2662,2260,,1320,834,2083,.400,268,872,.307,324,485,.668,357,1154,411,169,153,367,553
323,Towson,33,25,8,.758,6.41,-2.77,,15,3,,12,2,,11,4,,2414,2111,,1325,738,1791,.412,233,741,.314,402,558,.720,291,993,336,156,99,420,581
324,Troy,31,20,11,.645,-3.15,-3.54,,10,6,,10,3,,8,6,,2144,2018,,1250,709,1719,.412,209,637,.328,391,556,.703,291,1040,361,250,112,461,536
325,Tulane,29,14,15,.483,6.84,5.43,,10,8,,9,4,,3,8,,2121,2080,,1175,729,1741,.419,269,788,.341,353,496,.712,351,1136,476,150,127,414,470
326,Tulsa,31,11,20,.355,1.79,4.31,,4,14,,8,8,,1,10,,2089,2167,,1240,768,1741,.441,282,778,.362,349,505,.691,316,1079,420,222,120,420,520
327,UCLA NCAA,32,25,7,.781,20.36,8.80,,15,5,,14,1,,8,4,,2444,2074,,1305,741,1780,.416,217,673,.322,375,519,.723,269,1059,379,145,107,433,553
328,Utah State,34,18,16,.529,10.86,4.98,,8,10,,9,7,,4,7,,2497,2273,,1380,818,1905,.429,251,737,.341,386,545,.708,266,1067,451,211,103,420,570
329,Utah Valley,32,20,12,.625,2.68,-1.29,,10,8,,11,2,,6,9,,2279,2084,,1305,760,1930,.394,205,722,.284,359,529,.679,313,1027,389,247,101,357,633
330,Utah,31,11,20,.355,5.90,7.06,,4,16,,7,9,,2,9,,2161,2197,,1250,806,1848,.436,213,648,.329,372,528,.705,329,1116,407,193,113,320,520
331,Valparaiso,32,14,18,.438,-1.29,1.15,,6,12,,8,8,,3,8,,2264,2257,,1320,853,1872,.456,242,684,.354,309,416,.743,216,1069,430,186,97,366,452
332,Vanderbilt,34,18,16,.529,11.36,8.25,,7,11,,10,8,,5,7,,2405,2299,,1365,798,1889,.422,225,747,.301,478,654,.731,330,1191,448,223,128,493,671
333,Vermont NCAA,33,28,5,.848,7.75,-6.32,,17,1,,16,0,,10,4,,2473,1990,,1325,741,1808,.410,234,680,.344,274,400,.685,208,949,323,162,93,372,531
334,Villanova NCAA,33,26,7,.788,19.47,9.92,,16,4,,12,1,,8,5,,2397,2082,,1325,748,1832,.408,244,787,.310,342,459,.745,317,1069,374,155,109,400,554
335,Virginia Commonwealth,31,22,9,.710,9.99,4.99,,14,4,,12,4,,9,2,,2072,1917,,1245,657,1671,.393,165,593,.278,438,623,.703,356,1071,352,238,82,529,529
336,VMI,31,16,15,.516,-1.87,-1.98,,9,9,,9,4,,6,9,,2451,2282,,1255,812,1966,.413,309,921,.336,349,473,.738,348,1141,384,210,96,322,463
337,Virginia Tech NCAA,35,23,12,.657,14.17,5.71,,11,9,,11,4,,7,6,,2476,2180,,1405,804,1876,.429,220,694,.317,352,473,.744,292,1062,407,219,106,420,513
338,Virginia,32,19,13,.594,8.29,5.92,,12,8,,10,6,,6,6,,2002,1926,,1280,715,1686,.424,217,641,.339,279,396,.705,298,1005,372,181,117,353,453
339,Wagner,27,21,6,.778,-0.92,-8.81,,13,3,,12,1,,9,5,,2010,1747,,1100,600,1438,.417,168,568,.296,379,566,.670,251,871,312,168,80,419,477
340,Wake Forest,32,23,9,.719,13.27,4.02,,13,7,,16,2,,5,5,,2543,2247,,1300,812,1950,.416,230,706,.326,393,559,.703,315,1073,398,244,82,402,568
341,Washington State,34,20,14,.588,12.75,6.02,,11,9,,13,7,,6,5,,2436,2207,,1365,782,1888,.414,212,668,.317,431,583,.739,351,1192,378,168,105,480,605
342,Washington,32,17,15,.531,5.58,7.27,,11,9,,11,6,,3,7,,2260,2314,,1295,842,1903,.442,217,648,.335,413,574,.720,394,1243,457,169,123,503,619
343,Weber State,33,21,12,.636,-1.44,-4.92,,13,7,,9,6,,8,5,,2513,2319,,1325,844,1919,.440,278,756,.368,353,488,.723,270,1101,430,176,58,482,631
344,West Virginia,33,16,17,.485,10.28,10.80,,4,14,,12,5,,1,10,,2259,2276,,1320,809,1814,.446,217,669,.324,441,619,.712,359,1190,430,228,94,508,630
345,Western Carolina,32,11,21,.344,-10.35,-1.77,,5,13,,8,5,,2,14,,2261,2472,,1295,871,1960,.444,316,885,.357,414,575,.720,319,1200,461,201,109,324,513
346,Western Illinois,31,16,15,.516,-5.19,-5.23,,7,11,,9,6,,7,8,,2439,2390,,1260,858,1859,.462,230,613,.375,444,571,.778,228,1084,378,166,90,386,591
347,Western Kentucky,32,19,13,.594,3.45,0.38,,11,7,,13,4,,5,6,,2414,2214,,1280,842,2017,.417,304,891,.341,226,319,.708,358,1187,499,209,91,460,522
348,Western Michigan,31,8,23,.258,-13.13,-1.92,,4,16,,4,10,,2,13,,2027,2329,,1255,846,1842,.459,244,739,.330,393,558,.704,335,1115,414,222,118,318,452
349,Wichita State,28,15,13,.536,8.33,6.22,,6,9,,11,6,,3,5,,1917,1858,,1135,664,1602,.414,186,589,.316,344,486,.708,278,976,347,188,106,387,461
350,William & Mary,32,5,27,.156,-14.10,-2.07,,4,14,,4,10,,1,14,,2044,2380,,1295,878,1907,.460,264,788,.335,360,513,.702,294,1143,459,291,154,408,523
351,Winthrop,32,23,9,.719,-1.55,-3.62,,14,2,,13,0,,7,7,,2407,2246,,1295,784,1820,.431,258,738,.350,420,596,.705,289,1012,351,234,81,434,609
352,Wisconsin NCAA,31,24,7,.774,13.85,9.69,,15,5,,12,4,,9,2,,2192,2063,,1240,771,1755,.439,191,592,.323,330,485,.680,252,1076,355,144,105,351,586
353,Wofford,32,19,13,.594,2.14,-1.43,,10,8,,11,4,,7,8,,2322,2120,,1285,747,1665,.449,275,767,.359,351,474,.741,199,885,368,196,78,424,533
354,Wright State NCAA,34,21,13,.618,-2.12,-5.66,,15,7,,12,3,,7,7,,2566,2416,,1360,908,2018,.450,232,699,.332,368,516,.713,344,1132,375,250,91,437,603
355,Wyoming NCAA,34,25,9,.735,9.87,4.12,,13,5,,14,1,,8,5,,2466,2227,,1380,825,1992,.414,230,761,.302,347,481,.721,297,1117,349,176,90,364,655
356,Xavier,32,19,13,.594,12.98,8.29,,8,11,,14,5,,4,6,,2364,2214,,1300,813,1914,.425,225,696,.323,363,489,.742,302,1111,394,214,116,412,576
357,Yale NCAA,30,19,11,.633,0.07,-1.97,,11,3,,10,3,,6,6,,2170,2065,,1205,739,1747,.423,220,722,.305,367,539,.681,287,1060,354,216,107,396,529
358,Youngstown State,32,18,14,.563,-6.16,-7.19,,12,9,,12,7,,6,7,,2329,2229,,1285,813,1847,.440,230,665,.346,373,516,.723,300,1040,402,186,100,379,553
