,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Bradley,31,17,14,.548,6.15,1.55,,11,7,,12,2,,3,8,,2185,2021,,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1,.192
32,Brigham Young,32,22,10,.688,10.19,5.59,,9,6,,12,2,,6,5,,2358,2172,,69.0,106.0,.272,.370,.546,54.9,52.1,7.1,8.6,.518,15.9,31.0,.197
33,Brown,29,13,16,.448,-3.31,-1.90,,5,9,,6,7,,6,7,,2058,2015,,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4,.218
34,Bryant NCAA,31,22,9,.710,-4.41,-7.47,,15,2,,14,1,,7,7,,2415,2255,,72.7,106.3,.322,.435,.539,52.0,51.5,8.6,10.1,.504,16.1,33.3,.236
35,Bucknell,32,9,23,.281,-14.59,-6.34,,5,13,,7,6,,2,15,,2277,2541,,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4,.217
36,Buffalo,30,19,11,.633,2.20,-2.90,,13,6,,9,3,,9,6,,2398,2168,,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2,.184
37,Butler,33,14,19,.424,4.67,9.38,,6,14,,9,7,,3,8,,2107,2209,,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7,.211
38,Cal Poly,28,7,21,.250,-10.19,-2.90,,4,12,,4,7,,2,12,,1721,1885,,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9,.268
39,Cal State Bakersfield,28,9,19,.321,-7.11,-1.55,,2,14,,6,7,,2,11,,1816,1857,,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6,.214
40,Cal State Fullerton NCAA,31,21,10,.677,0.31,-2.59,,12,5,,11,2,,7,7,,2178,2051,,67.3,104.5,.359,.302,.542,51.3,45.6,10.8,5.8,.497,15.9,29.7,.274
41,Cal State Northridge,30,7,23,.233,-11.62,-1.01,,3,15,,4,11,,3,11,,1847,2137,,65.7,92.5,.293,.302,.481,46.0,40.6,10.8,7.5,.448,16.1,27.0,.200
42,California Baptist,33,18,15,.545,-3.23,-3.23,,7,11,,14,5,,3,9,,2344,2220,,69.5,101.7,.371,.431,.541,51.9,65.1,7.3,7.2,.512,17.6,28.5,.249
43,UC Davis,24,13,11,.542,-3.28,-3.87,,6,6,,7,5,,5,4,,1628,1593,,67.9,99.3,.291,.321,.524,49.3,45.3,8.8,7.8,.493,16.2,26.0,.205
44,UC Irvine,25,15,10,.600,2.00,-0.52,,10,5,,9,1,,6,7,,1656,1507,,66.1,100.3,.296,.282,.527,53.0,44.8,9.1,9.4,.488,17.7,30.7,.227
45,UC Riverside,28,16,12,.571,-0.51,-1.47,,10,7,,10,4,,6,7,,1865,1784,,66.1,99.5,.268,.407,.536,52.1,54.6,7.8,3.3,.507,16.5,24.1,.193
46,UC San Diego,29,13,16,.448,-6.62,-3.36,,7,11,,9,4,,4,11,,2036,2046,,68.5,102.0,.321,.456,.562,46.4,56.7,8.4,4.6,.528,16.7,18.5,.240
47,UC Santa Barbara,28,17,11,.607,1.77,-4.00,,9,6,,11,3,,5,7,,2066,1841,,67.0,107.8,.374,.300,.574,53.2,58.0,9.1,7.7,.544,17.1,29.3,.265
48,California,32,12,20,.375,4.51,7.51,,5,15,,10,8,,2,9,,2018,2114,,64.9,96.4,.253,.316,.501,50.9,45.2,7.4,7.2,.469,15.1,25.3,.184
49,Campbell,29,16,13,.552,-4.83,-5.75,,8,8,,9,4,,5,8,,1919,1798,,63.9,102.7,.275,.369,.542,49.7,56.0,9.6,7.0,.519,14.6,22.2,.187
50,Canisius,32,11,21,.344,-7.83,-2.61,,7,13,,10,5,,1,15,,2192,2288,,69.6,97.6,.299,.397,.494,49.3,53.5,8.6,6.6,.461,14.6,28.5,.207
51,Central Arkansas,31,11,20,.355,-13.61,-1.47,,7,9,,8,4,,3,14,,2269,2515,,73.0,99.4,.227,.352,.523,48.6,51.5,9.2,8.0,.493,16.3,27.4,.172
52,Central Connecticut State,32,8,24,.250,-17.31,-6.97,,4,13,,4,7,,4,15,,1977,2308,,66.2,92.2,.291,.392,.495,46.6,49.3,9.3,6.3,.460,18.1,26.3,.206
53,Central Florida,30,18,12,.600,6.34,4.74,,9,9,,13,3,,4,8,,2095,2047,,68.1,102.2,.285,.431,.528,49.7,58.8,10.2,10.9,.499,16.5,30.8,.201
54,Central Michigan,30,7,23,.233,-12.10,-1.07,,6,12,,2,9,,5,11,,1978,2309,,68.8,95.4,.305,.401,.509,46.6,49.7,9.1,9.0,.478,17.3,25.3,.211
55,Charleston Southern,31,6,25,.194,-17.58,-4.23,,1,15,,4,9,,1,13,,2122,2356,,71.3,95.6,.304,.454,.507,50.0,49.8,9.1,8.1,.478,17.8,27.6,.206
56,Charlotte,31,17,14,.548,-1.51,-0.32,,10,8,,11,4,,6,6,,2171,2208,,66.7,105.1,.280,.398,.564,49.0,55.4,7.2,8.0,.529,15.6,22.6,.221
57,Chattanooga NCAA,34,27,7,.794,5.93,-1.38,,14,4,,12,3,,12,4,,2543,2199,,66.0,112.5,.267,.394,.566,53.8,47.4,10.8,6.6,.537,14.3,32.7,.201
58,Chicago State,32,7,25,.219,-13.91,-1.63,,3,15,,5,9,,2,15,,1987,2380,,66.7,93.0,.294,.438,.487,48.3,43.3,8.2,6.4,.459,18.8,32.2,.192
59,Cincinnati,33,18,15,.545,7.59,4.43,,7,11,,12,6,,4,7,,2291,2176,,68.6,101.2,.296,.424,.499,49.8,53.3,9.2,9.7,.470,13.1,29.9,.198
60,The Citadel,31,13,18,.419,-6.73,-1.91,,6,12,,7,8,,5,9,,2381,2382,,71.0,106.0,.295,.498,.554,49.5,59.7,6.5,9.1,.533,14.9,25.4,.198
61,Clemson,33,17,16,.515,9.32,6.05,,8,12,,11,5,,3,8,,2367,2259,,66.6,106.8,.298,.378,.555,51.4,55.2,8.8,7.2,.524,14.6,25.8,.219
62,Cleveland State,31,20,11,.645,-1.53,-5.39,,15,6,,15,3,,5,7,,2336,2168,,68.7,107.5,.362,.338,.559,51.9,60.1,12.3,10.4,.534,16.7,33.8,.243
63,Coastal Carolina,29,16,13,.552,-0.03,-2.39,,8,8,,11,6,,4,5,,2111,1893,,67.2,107.4,.319,.353,.543,54.1,51.0,9.8,11.3,.514,16.3,35.4,.221
64,Colgate NCAA,34,23,11,.676,0.83,-6.96,,16,2,,15,1,,8,10,,2586,2282,,67.8,111.7,.266,.423,.581,52.0,62.0,9.2,9.6,.562,14.7,26.4,.185
65,College of Charleston,32,17,15,.531,0.21,-1.54,,8,10,,9,6,,7,8,,2502,2446,,74.3,104.5,.304,.376,.536,54.7,47.2,10.6,7.2,.503,17.6,35.9,.222
66,Colorado State NCAA,30,25,5,.833,12.24,4.86,,14,4,,14,1,,6,3,,2212,1972,,65.9,111.0,.304,.389,.588,50.1,53.4,9.4,10.1,.555,13.8,22.0,.235
67,Colorado,33,21,12,.636,10.37,6.70,,12,8,,12,6,,6,4,,2345,2224,,68.4,103.2,.347,.336,.545,53.6,54.0,8.0,8.7,.504,17.2,30.0,.262
