,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,33,23,10,.697,2.66,-2.10,,11,7,,14,3,,6,6,,2519,2191,,71.8,91.1,.482,.402,.549,52.0,51.2,7.3,9.4,.499,26.2,30.0,.350
2,Air Force,29,11,18,.379,-5.24,1.76,,4,13,,7,6,,2,10,,1712,1915,,63.4,104.1,.389,.333,.559,55.4,47.4,8.5,11.9,.515,17.9,29.4,.296
3,Akron NCAA,33,24,9,.727,0.81,-4.32,,14,6,,12,3,,8,4,,2349,2073,,64.3,97.3,.259,.353,.512,46.9,40.2,8.4,7.0,.484,16.2,25.5,.182
4,Alabama A&M,30,12,18,.400,-14.19,-8.62,,10,8,,7,3,,4,14,,1843,2010,,68.3,96.5,.286,.389,.494,51.2,56.4,10.8,6.6,.463,16.7,30.9,.196
5,UAB NCAA,34,27,7,.794,11.10,-0.71,,14,4,,16,2,,7,4,,2743,2254,,70.6,92.9,.305,.373,.508,46.8,46.3,7.6,8.5,.473,19.7,27.5,.217
6,Alabama State,31,10,21,.323,-11.81,-5.21,,8,10,,7,6,,3,15,,2160,2332,,71.4,104.4,.339,.377,.539,51.7,53.4,10.7,10.2,.503,16.8,33.1,.245
7,Alabama NCAA,32,19,13,.594,15.51,11.94,,9,9,,13,3,,3,7,,2559,2445,,73.3,103.9,.352,.359,.531,47.5,46.2,10.5,11.6,.494,15.3,30.7,.250
8,Albany (NY),31,13,18,.419,-9.73,-5.69,,9,9,,4,8,,8,9,,1917,2042,,65.8,99.7,.318,.386,.541,51.6,53.9,8.0,11.5,.507,18.3,27.2,.230
9,Alcorn State,34,17,17,.500,-8.44,-3.88,,14,4,,6,3,,9,13,,2262,2417,,69.0,102.3,.367,.357,.544,48.9,55.8,9.9,9.8,.507,16.8,27.8,.263
10,American,32,10,22,.313,-15.30,-7.83,,5,13,,6,5,,4,16,,2031,2270,,66.8,105.3,.289,.342,.556,51.9,51.0,10.0,8.2,.533,15.2,24.8,.200
11,Appalachian State,34,19,15,.559,-1.47,-1.47,,12,6,,11,5,,6,7,,2281,2146,,65.5,96.0,.212,.381,.507,49.6,55.6,7.9,9.4,.478,16.1,25.0,.160
12,Arizona State,31,14,17,.452,8.19,10.03,,10,10,,9,6,,5,7,,2027,2084,,67.9,97.4,.323,.410,.503,52.8,57.4,8.9,8.2,.463,16.8,30.3,.233
13,Arizona NCAA,34,31,3,.912,24.00,6.97,,18,2,,17,0,,9,3,,2875,2296,,72.9,92.2,.228,.345,.469,44.8,46.8,9.3,7.1,.444,15.2,28.3,.153
14,Little Rock,28,9,19,.321,-11.81,-0.49,,3,11,,6,7,,1,10,,1868,2047,,68.0,105.6,.298,.394,.568,52.7,57.2,9.0,7.6,.544,18.3,29.1,.209
15,Arkansas-Pine Bluff,31,7,24,.226,-18.69,-4.31,,5,13,,5,7,,2,17,,2055,2426,,69.2,112.7,.333,.309,.581,56.1,53.7,10.7,10.2,.552,16.5,34.8,.243
16,Arkansas State,29,18,11,.621,-3.07,-3.30,,8,7,,11,3,,6,7,,2055,1974,,69.5,97.5,.293,.332,.514,48.5,47.4,10.2,8.1,.483,17.2,28.0,.205
17,Arkansas NCAA,33,25,8,.758,16.50,8.11,,13,5,,17,1,,5,4,,2539,2262,,72.1,94.4,.323,.392,.514,47.5,54.4,9.5,8.7,.475,18.3,25.7,.236
18,Army,31,15,16,.484,-10.48,-7.48,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,.224,.405,.532,48.7,54.3,10.8,11.0,.513,17.3,26.4,.150
19,Auburn NCAA,32,27,5,.844,20.39,8.71,,15,3,,16,0,,8,3,,2519,2145,,71.4,92.4,.348,.363,.488,47.8,48.8,10.3,10.1,.441,17.9,29.3,.254
20,Austin Peay,29,12,17,.414,-9.76,-3.13,,8,10,,6,5,,6,11,,1875,2004,,66.1,103.2,.346,.378,.556,51.4,53.9,10.5,11.1,.529,18.7,30.0,.237
21,Ball State,31,14,17,.452,-7.62,-4.19,,9,10,,9,5,,4,9,,2304,2380,,71.6,106.8,.323,.427,.553,50.4,49.8,10.3,8.6,.522,15.2,28.0,.232
22,Baylor NCAA,32,26,6,.813,21.96,9.08,,14,4,,15,2,,8,3,,2448,2036,,68.5,92.5,.269,.359,.508,46.3,55.5,9.4,7.3,.478,20.1,28.4,.188
23,Bellarmine,33,20,13,.606,-3.47,-0.98,,11,5,,11,4,,8,8,,2314,2217,,63.8,104.9,.280,.466,.546,51.7,52.1,7.8,6.6,.520,16.1,28.1,.199
24,Belmont,33,25,8,.758,6.77,-2.29,,15,3,,13,1,,10,5,,2583,2264,,70.3,96.8,.235,.398,.523,50.1,52.6,9.5,10.1,.498,18.5,27.6,.166
25,Bethune-Cookman,30,9,21,.300,-14.48,-6.48,,7,11,,4,6,,4,13,,1901,2086,,67.4,102.4,.343,.374,.547,51.8,54.3,10.0,10.9,.509,18.0,30.0,.253
26,Binghamton,29,12,17,.414,-10.32,-6.10,,8,10,,5,8,,7,9,,1962,1983,,67.3,101.1,.299,.372,.517,49.5,43.0,9.8,9.0,.490,14.4,27.0,.199
27,Boise State NCAA,34,27,7,.794,12.61,5.37,,15,3,,13,3,,9,3,,2336,2066,,65.0,92.4,.258,.331,.510,46.1,43.3,7.9,8.6,.480,18.1,21.6,.185
28,Boston College,33,13,20,.394,3.67,4.85,,6,14,,9,7,,2,10,,2209,2248,,65.5,102.5,.315,.368,.550,49.1,50.6,10.1,10.1,.515,16.7,25.8,.234
29,Boston University,33,21,12,.636,-4.57,-7.82,,11,7,,11,4,,8,8,,2353,2225,,65.6,101.6,.286,.325,.534,46.5,47.7,10.4,11.0,.502,15.2,24.3,.211
30,Bowling Green State,31,13,18,.419,-8.48,-4.10,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.4,.292,.431,.555,49.7,50.6,8.4,6.4,.523,15.4,29.1,.218
31,Bradley,31,17,14,.548,6.15,1.55,,11,7,,12,2,,3,8,,2185,2021,,68.1,95.4,.310,.377,.506,45.1,43.8,10.8,6.4,.466,16.1,23.0,.230
32,Brigham Young,32,22,10,.688,10.19,5.59,,9,6,,12,2,,6,5,,2358,2172,,69.0,97.7,.301,.371,.507,45.1,49.2,8.6,8.0,.477,14.0,22.5,.204
33,Brown,29,13,16,.448,-3.31,-1.90,,5,9,,6,7,,6,7,,2058,2015,,69.7,99.7,.328,.379,.536,49.3,46.2,9.1,7.0,.505,17.9,27.2,.228
34,Bryant NCAA,31,22,9,.710,-4.41,-7.47,,15,2,,14,1,,7,7,,2415,2255,,72.7,99.3,.242,.335,.491,48.0,54.6,9.9,12.3,.465,14.0,31.0,.164
35,Bucknell,32,9,23,.281,-14.59,-6.34,,5,13,,7,6,,2,15,,2277,2541,,68.3,113.6,.229,.383,.562,52.9,53.1,12.1,8.3,.538,11.9,29.8,.172
36,Buffalo,30,19,11,.633,2.20,-2.90,,13,6,,9,3,,9,6,,2398,2168,,72.5,99.7,.287,.324,.506,45.0,43.3,8.5,8.3,.474,14.5,27.7,.202
37,Butler,33,14,19,.424,4.67,9.38,,6,14,,9,7,,3,8,,2107,2209,,64.9,101.9,.295,.378,.524,50.9,49.5,8.6,13.5,.493,15.0,27.7,.210
38,Cal Poly,28,7,21,.250,-10.19,-2.90,,4,12,,4,7,,2,12,,1721,1885,,65.5,101.3,.365,.362,.525,48.7,49.4,9.4,7.4,.479,15.4,26.5,.273
39,Cal State Bakersfield,28,9,19,.321,-7.11,-1.55,,2,14,,6,7,,2,11,,1816,1857,,65.6,101.1,.470,.416,.558,47.2,53.0,8.3,5.1,.509,18.9,25.2,.347
40,Cal State Fullerton NCAA,31,21,10,.677,0.31,-2.59,,12,5,,11,2,,7,7,,2178,2051,,67.3,98.4,.260,.375,.532,48.7,54.1,9.2,8.1,.508,18.3,27.2,.181
41,Cal State Northridge,30,7,23,.233,-11.62,-1.01,,3,15,,4,11,,3,11,,1847,2137,,65.7,107.1,.345,.384,.556,54.0,57.8,8.4,6.8,.515,17.0,32.5,.263
42,California Baptist,33,18,15,.545,-3.23,-3.23,,7,11,,14,5,,3,9,,2344,2220,,69.5,96.4,.319,.334,.499,48.1,52.2,8.9,6.4,.467,15.4,26.3,.217
43,UC Davis,24,13,11,.542,-3.28,-3.87,,6,6,,7,5,,5,4,,1628,1593,,67.9,97.2,.358,.337,.511,50.7,47.1,8.6,5.9,.472,17.0,28.5,.252
44,UC Irvine,25,15,10,.600,2.00,-0.52,,10,5,,9,1,,6,7,,1656,1507,,66.1,91.3,.301,.323,.474,47.0,48.1,9.3,6.6,.432,15.6,26.7,.218
45,UC Riverside,28,16,12,.571,-0.51,-1.47,,10,7,,10,4,,6,7,,1865,1784,,66.1,95.1,.273,.298,.495,47.9,48.1,8.2,7.6,.461,14.4,22.2,.196
46,UC San Diego,29,13,16,.448,-6.62,-3.36,,7,11,,9,4,,4,11,,2036,2046,,68.5,102.5,.216,.330,.538,53.6,46.9,8.9,8.9,.516,15.6,27.1,.154
47,UC Santa Barbara,28,17,11,.607,1.77,-4.00,,9,6,,11,3,,5,7,,2066,1841,,67.0,96.0,.296,.331,.510,46.8,51.4,9.2,6.5,.473,16.7,25.6,.217
48,California,32,12,20,.375,4.51,7.51,,5,15,,10,8,,2,9,,2018,2114,,64.9,101.0,.315,.351,.517,49.1,42.0,8.9,8.8,.475,13.1,23.4,.239
49,Campbell,29,16,13,.552,-4.83,-5.75,,8,8,,9,4,,5,8,,1919,1798,,63.9,96.2,.268,.389,.516,50.3,46.1,9.2,8.5,.494,16.8,24.2,.175
50,Canisius,32,11,21,.344,-7.83,-2.61,,7,13,,10,5,,1,15,,2192,2288,,69.6,101.9,.315,.319,.542,50.7,49.5,7.4,12.0,.508,16.4,26.1,.229
51,Central Arkansas,31,11,20,.355,-13.61,-1.47,,7,9,,8,4,,3,14,,2269,2515,,73.0,110.2,.299,.368,.564,51.4,52.7,10.4,8.3,.537,14.7,29.5,.216
52,Central Connecticut State,32,8,24,.250,-17.31,-6.97,,4,13,,4,7,,4,15,,1977,2308,,66.2,107.6,.288,.393,.555,53.4,52.7,10.5,11.2,.529,16.3,31.8,.205
53,Central Florida,30,18,12,.600,6.34,4.74,,9,9,,13,3,,4,8,,2095,2047,,68.1,99.9,.298,.413,.523,50.3,55.0,10.4,10.0,.487,17.8,30.8,.219
54,Central Michigan,30,7,23,.233,-12.10,-1.07,,6,12,,2,9,,5,11,,1978,2309,,68.8,111.4,.361,.424,.561,53.4,54.2,9.2,9.7,.530,14.3,31.3,.254
55,Charleston Southern,31,6,25,.194,-17.58,-4.23,,1,15,,4,9,,1,13,,2122,2356,,71.3,106.1,.297,.377,.561,50.0,52.8,10.9,9.0,.530,15.6,25.2,.221
56,Charlotte,31,17,14,.548,-1.51,-0.32,,10,8,,11,4,,6,6,,2171,2208,,66.7,106.9,.265,.363,.558,51.0,46.7,8.4,9.2,.526,15.0,25.5,.203
57,Chattanooga NCAA,34,27,7,.794,5.93,-1.38,,14,4,,12,3,,12,4,,2543,2199,,66.0,97.3,.259,.406,.511,46.2,44.6,8.4,9.7,.484,16.2,26.2,.180
58,Chicago State,32,7,25,.219,-13.91,-1.63,,3,15,,5,9,,2,15,,1987,2380,,66.7,111.4,.384,.360,.570,51.7,56.7,9.9,10.9,.535,16.3,34.6,.279
59,Cincinnati,33,18,15,.545,7.59,4.43,,7,11,,12,6,,4,7,,2291,2176,,68.6,96.1,.341,.307,.494,50.2,52.4,8.3,9.7,.451,15.7,29.2,.246
60,The Citadel,31,13,18,.419,-6.73,-1.91,,6,12,,7,8,,5,9,,2381,2382,,71.0,106.1,.256,.396,.526,50.5,48.9,9.5,9.6,.495,12.4,27.4,.189
61,Clemson,33,17,16,.515,9.32,6.05,,8,12,,11,5,,3,8,,2367,2259,,66.6,101.9,.291,.426,.534,48.6,50.6,8.0,10.6,.497,15.1,24.1,.222
62,Cleveland State,31,20,11,.645,-1.53,-5.39,,15,6,,15,3,,5,7,,2336,2168,,68.7,99.8,.333,.431,.531,48.1,54.3,10.8,9.4,.490,18.9,31.1,.251
63,Coastal Carolina,29,16,13,.552,-0.03,-2.39,,8,8,,11,6,,4,5,,2111,1893,,67.2,96.3,.246,.454,.487,45.9,55.9,10.5,7.0,.454,15.1,29.0,.180
64,Colgate NCAA,34,23,11,.676,0.83,-6.96,,16,2,,15,1,,8,10,,2586,2282,,67.8,98.6,.243,.353,.508,48.0,53.3,9.4,8.6,.484,14.3,24.8,.164
65,College of Charleston,32,17,15,.531,0.21,-1.54,,8,10,,9,6,,7,8,,2502,2446,,74.3,102.1,.376,.353,.550,45.3,47.1,10.7,12.7,.512,17.1,25.0,.272
66,Colorado State NCAA,30,25,5,.833,12.24,4.86,,14,4,,14,1,,6,3,,2212,1972,,65.9,99.0,.249,.440,.525,49.9,49.7,8.3,8.6,.499,16.5,24.8,.176
67,Colorado,33,21,12,.636,10.37,6.70,,12,8,,12,6,,6,4,,2345,2224,,68.4,97.8,.270,.369,.513,46.4,45.6,10.1,9.7,.481,15.5,24.4,.196
68,Columbia,26,4,22,.154,-17.46,-4.58,,1,13,,3,10,,1,12,,1752,2049,,71.0,110.5,.249,.427,.570,51.0,51.8,11.8,8.5,.545,14.7,27.9,.185
69,Connecticut NCAA,32,23,9,.719,17.23,7.20,,13,6,,14,2,,5,5,,2406,2085,,67.1,95.2,.319,.326,.491,44.7,44.2,9.3,8.3,.457,15.6,27.5,.217
70,Coppin State,32,9,23,.281,-12.57,-4.82,,6,8,,3,6,,4,16,,2142,2390,,74.4,100.4,.281,.415,.523,56.0,53.7,9.2,9.8,.493,18.1,32.0,.200
