,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
71,Cornell,26,15,11,.577,-3.37,-3.41,,7,7,,10,2,,5,8,,2059,1941,,73.5,101.0,.295,.434,.526,48.7,49.1,9.3,9.1,.500,16.2,27.2,.200
72,Creighton NCAA,33,22,11,.667,11.42,8.33,,12,7,,11,4,,6,5,,2278,2176,,68.1,96.2,.203,.336,.476,48.1,44.8,9.9,9.3,.448,13.3,28.5,.147
73,Dartmouth,25,9,16,.360,-4.00,-2.50,,6,8,,5,5,,4,11,,1709,1705,,66.8,100.5,.280,.376,.539,51.8,42.8,8.8,7.0,.511,17.2,26.3,.199
74,Davidson NCAA,33,27,6,.818,10.53,1.72,,15,3,,13,1,,9,3,,2494,2170,,66.1,99.0,.276,.435,.524,47.6,51.2,7.6,7.0,.490,15.1,21.7,.204
75,Dayton,33,23,10,.697,10.16,2.19,,14,4,,13,4,,6,5,,2281,2018,,64.4,94.9,.241,.372,.502,45.3,53.4,9.5,10.5,.473,15.6,23.3,.174
76,Delaware State,28,2,26,.071,-22.45,-7.21,,0,14,,2,11,,0,13,,1757,2058,,71.0,103.1,.328,.458,.531,52.4,64.0,11.2,9.1,.498,17.0,33.1,.231
77,Delaware NCAA,34,22,12,.647,0.11,-2.71,,10,8,,9,5,,8,5,,2508,2376,,68.2,101.8,.285,.353,.526,50.6,45.2,9.4,7.9,.489,16.1,30.1,.216
78,Denver,32,11,21,.344,-9.64,-5.47,,7,11,,6,7,,4,12,,2257,2380,,68.5,107.3,.318,.399,.553,51.6,46.2,7.7,9.2,.519,14.8,27.7,.235
79,DePaul,31,15,16,.484,8.15,7.05,,6,14,,11,7,,4,8,,2272,2238,,70.4,102.2,.260,.353,.521,48.4,48.2,9.0,8.7,.488,14.6,28.5,.195
80,Detroit Mercy,29,14,15,.483,-5.60,-4.81,,10,7,,9,1,,5,14,,2043,2020,,65.6,106.1,.303,.405,.560,51.0,57.5,9.2,6.8,.533,16.9,29.1,.214
81,Dixie State,31,13,18,.419,-8.23,-0.23,,6,12,,10,6,,3,11,,2247,2296,,73.9,99.8,.290,.383,.522,49.6,53.8,11.1,10.9,.494,16.2,27.5,.201
82,Drake,34,24,10,.706,7.71,1.68,,13,5,,14,3,,8,2,,2498,2250,,66.4,97.5,.325,.385,.528,47.9,43.3,8.1,7.7,.492,17.7,24.9,.237
83,Drexel,29,15,14,.517,-0.49,-2.10,,10,8,,8,4,,6,7,,2112,2038,,68.0,102.4,.259,.321,.529,49.8,41.1,9.3,6.5,.504,14.2,25.6,.181
84,Duke NCAA,34,28,6,.824,19.15,6.12,,16,4,,15,3,,9,2,,2726,2283,,68.3,97.9,.189,.338,.489,47.0,51.8,9.1,8.1,.470,13.8,28.5,.127
85,Duquesne,30,6,24,.200,-6.21,1.99,,1,16,,3,11,,1,10,,1956,2202,,66.9,107.9,.219,.320,.559,52.6,53.4,8.8,9.9,.540,16.4,31.4,.155
86,East Carolina,30,15,15,.500,0.61,2.77,,6,11,,12,4,,2,7,,2063,2128,,68.9,102.2,.310,.410,.534,50.7,61.0,10.0,11.9,.505,16.2,28.3,.216
87,East Tennessee State,32,15,17,.469,-2.60,-0.20,,7,11,,8,6,,4,10,,2306,2336,,66.6,109.3,.256,.461,.552,50.0,54.9,9.0,7.2,.527,14.6,31.0,.183
88,Eastern Illinois,31,5,26,.161,-20.71,-3.61,,3,15,,4,9,,1,16,,1746,2205,,66.6,106.8,.241,.436,.549,55.6,61.0,12.9,12.9,.529,16.1,33.3,.165
89,Eastern Kentucky,31,13,18,.419,-6.55,-5.18,,5,11,,12,5,,1,13,,2457,2327,,73.0,100.8,.279,.391,.557,52.5,55.8,8.4,9.1,.532,20.6,30.7,.199
90,Eastern Michigan,31,10,21,.323,-10.46,-2.62,,5,15,,8,7,,2,14,,2143,2356,,70.7,104.9,.293,.361,.541,52.3,45.8,9.4,9.7,.513,15.0,28.2,.205
91,Eastern Washington,33,18,15,.545,-5.04,-5.27,,11,9,,9,3,,8,10,,2539,2453,,71.6,103.0,.301,.418,.533,48.1,47.7,8.3,8.0,.496,14.2,24.9,.228
92,Elon,32,10,22,.313,-6.43,1.10,,7,11,,7,7,,3,11,,2147,2311,,67.3,107.4,.425,.383,.548,51.5,48.3,11.0,10.0,.500,14.3,28.5,.318
93,Evansville,30,6,24,.200,-10.64,1.70,,2,16,,4,9,,2,11,,1775,2122,,64.2,108.0,.302,.339,.587,56.2,45.8,8.1,8.5,.561,16.2,21.2,.222
94,Fairfield,33,15,18,.455,-4.31,-4.53,,8,12,,6,9,,8,8,,2239,2177,,65.5,99.7,.306,.303,.509,49.8,42.3,8.1,9.9,.476,14.9,27.7,.214
95,Fairleigh Dickinson,26,4,22,.154,-18.01,-6.08,,4,11,,3,6,,1,16,,1748,2058,,70.4,111.4,.341,.351,.566,53.9,57.5,9.0,10.4,.538,15.6,34.1,.238
96,Florida A&M,30,13,17,.433,-11.93,-6.50,,11,7,,8,4,,5,12,,1950,2064,,67.2,101.5,.382,.355,.519,53.3,51.9,9.1,5.3,.485,16.2,33.6,.256
97,Florida Atlantic,33,19,14,.576,3.03,-1.67,,11,7,,14,5,,4,8,,2448,2241,,68.6,98.5,.312,.337,.533,46.8,44.8,8.8,8.7,.502,17.6,24.8,.218
98,Florida Gulf Coast,32,21,11,.656,-2.86,-4.83,,10,6,,15,3,,6,8,,2478,2342,,70.1,102.0,.242,.384,.521,47.2,50.2,9.4,7.1,.499,14.1,26.9,.164
99,Florida International,32,15,17,.469,-6.32,-3.12,,5,13,,11,5,,1,11,,2264,2274,,69.0,101.1,.312,.388,.526,51.1,53.0,10.1,9.7,.492,16.4,29.6,.222
100,Florida State,31,17,14,.548,6.17,7.10,,10,10,,11,4,,4,8,,2201,2230,,68.6,104.1,.304,.423,.551,50.2,55.1,8.5,7.8,.522,18.1,31.0,.216
101,Florida,32,19,13,.594,12.76,8.08,,9,9,,12,5,,4,6,,2265,2115,,66.4,98.8,.301,.328,.523,50.8,48.2,11.2,8.9,.493,18.6,32.6,.211
102,Fordham,32,16,16,.500,-0.80,-0.11,,8,10,,10,4,,3,9,,2115,2137,,68.6,95.8,.304,.345,.509,50.1,49.2,8.3,9.6,.480,17.3,26.2,.207
103,Fresno State,32,19,13,.594,8.76,3.05,,8,9,,11,4,,5,8,,2069,1872,,61.8,92.9,.272,.421,.507,46.9,50.4,8.6,6.6,.479,17.6,21.9,.186
104,Furman,34,22,12,.647,6.23,-1.41,,12,6,,12,3,,8,8,,2640,2336,,66.1,101.7,.243,.366,.540,50.2,51.3,8.7,9.9,.513,16.9,27.8,.177
105,Gardner-Webb,31,18,13,.581,-2.30,-4.37,,11,5,,11,3,,6,9,,2154,1989,,69.7,92.0,.347,.416,.494,48.0,51.7,9.4,8.8,.448,16.8,22.2,.255
106,George Mason,30,14,16,.467,4.34,2.14,,7,9,,10,4,,4,8,,2122,2056,,66.6,100.7,.296,.422,.530,48.7,49.9,10.0,9.4,.496,15.2,23.6,.217
107,George Washington,30,12,18,.400,-3.89,0.58,,8,9,,8,5,,3,10,,2051,2185,,69.7,103.3,.293,.345,.527,53.8,50.3,9.5,10.8,.496,15.5,31.1,.210
108,Georgetown,31,6,25,.194,1.96,8.29,,0,19,,6,11,,0,11,,2192,2388,,71.0,108.4,.276,.416,.563,49.9,61.0,9.7,11.4,.536,15.8,29.9,.200
109,Georgia Southern,29,13,16,.448,-6.97,-2.97,,5,11,,7,5,,4,10,,1927,1903,,67.1,96.9,.338,.389,.508,50.0,49.5,11.1,7.8,.473,17.5,29.5,.233
110,Georgia State NCAA,28,18,10,.643,-1.23,-2.31,,9,5,,8,4,,6,5,,1977,1813,,68.3,93.5,.309,.373,.514,49.0,55.7,9.1,8.5,.482,20.8,30.0,.215
111,Georgia Tech,32,12,20,.375,1.91,5.75,,5,15,,8,10,,3,8,,2195,2264,,68.6,101.5,.319,.388,.531,51.0,59.1,9.5,8.5,.497,16.5,27.9,.229
112,Georgia,32,6,26,.188,-0.36,8.33,,1,17,,6,13,,0,10,,2234,2512,,69.8,112.4,.241,.411,.567,51.6,56.2,11.2,14.7,.546,13.7,30.1,.173
113,Gonzaga NCAA,29,26,3,.897,26.73,4.24,,13,1,,16,0,,5,1,,2547,1895,,73.8,88.5,.222,.339,.460,44.0,40.9,8.5,6.8,.432,15.0,23.0,.154
114,Grambling,32,12,20,.375,-12.11,-4.84,,8,9,,6,4,,4,14,,2092,2273,,70.5,100.8,.391,.358,.521,51.8,51.8,10.1,10.9,.484,16.9,31.1,.268
115,Grand Canyon,31,23,8,.742,6.10,-2.28,,12,5,,15,2,,6,5,,2204,1898,,67.7,90.4,.317,.345,.471,45.9,43.1,8.6,8.5,.432,16.7,27.1,.219
116,Green Bay,30,5,25,.167,-13.57,-5.12,,4,16,,4,9,,1,13,,1852,2068,,64.9,106.2,.311,.346,.564,51.6,47.6,10.8,8.7,.528,16.1,27.9,.238
117,Hampton,28,9,19,.321,-13.46,-5.92,,5,11,,7,4,,2,11,,1814,1946,,69.2,99.5,.364,.338,.500,53.4,46.0,8.7,8.3,.465,14.7,31.2,.241
118,Hartford,32,12,20,.375,-9.93,-7.59,,9,9,,7,5,,5,13,,2234,2309,,67.1,107.2,.289,.383,.546,51.7,47.6,9.8,9.5,.516,14.4,28.4,.210
119,Harvard,26,13,13,.500,-4.65,-4.17,,5,9,,9,6,,4,7,,1858,1797,,69.7,97.8,.307,.395,.547,50.2,51.0,8.9,8.7,.515,19.3,23.1,.224
120,Hawaii,28,17,11,.607,-0.10,-2.63,,12,5,,10,4,,5,5,,1928,1796,,66.2,96.9,.307,.305,.503,46.6,37.9,9.8,8.4,.466,14.2,24.1,.221
121,High Point,32,14,18,.438,-6.50,-3.36,,7,9,,10,6,,3,10,,2225,2232,,67.7,100.3,.343,.369,.515,50.4,53.9,9.5,9.0,.486,15.5,29.7,.227
122,Hofstra,32,21,11,.656,1.60,-0.80,,13,5,,12,2,,8,8,,2494,2333,,70.5,102.6,.245,.420,.555,51.8,56.5,7.5,8.1,.530,18.3,26.8,.180
123,Holy Cross,31,9,22,.290,-16.81,-7.84,,7,11,,5,9,,4,11,,2022,2192,,67.9,104.1,.301,.323,.547,51.1,51.1,8.9,8.3,.522,16.0,27.7,.207
124,Houston Baptist,29,11,18,.379,-14.22,-6.46,,6,8,,7,6,,3,8,,2190,2220,,72.2,104.3,.356,.359,.570,47.5,48.3,10.8,8.8,.534,17.9,25.2,.266
125,Houston NCAA,34,29,5,.853,22.30,5.36,,15,3,,16,1,,7,3,,2578,2002,,65.4,89.1,.351,.429,.479,44.7,55.4,9.0,6.5,.435,18.9,27.3,.247
126,Howard,29,16,13,.552,-6.55,-8.32,,9,5,,9,4,,5,8,,2215,2019,,73.4,94.4,.340,.326,.517,51.7,47.6,9.7,8.8,.481,20.9,32.7,.239
127,Idaho State,30,7,23,.233,-14.65,-4.97,,5,15,,5,8,,2,14,,1931,2146,,65.9,108.1,.345,.364,.564,50.1,45.0,10.3,8.5,.529,15.0,27.0,.253
128,Idaho,31,9,22,.290,-12.86,-4.45,,6,14,,8,7,,1,12,,2263,2468,,71.3,110.7,.332,.335,.565,51.0,41.6,8.7,9.9,.539,12.9,25.7,.231
129,Illinois-Chicago,30,14,16,.467,-8.47,-6.05,,9,10,,6,6,,8,8,,2159,2188,,69.4,103.8,.334,.272,.544,51.5,43.4,9.6,6.4,.509,15.2,26.6,.241
130,Illinois State,33,13,20,.394,-0.46,1.05,,5,13,,11,6,,1,11,,2447,2466,,69.2,105.2,.309,.374,.541,49.7,50.1,10.2,6.8,.505,15.2,29.0,.231
131,Illinois NCAA,31,22,9,.710,17.77,9.64,,15,5,,13,3,,7,4,,2349,2097,,68.2,98.4,.284,.296,.498,45.7,41.7,9.5,8.6,.463,13.6,25.8,.205
132,Incarnate Word,32,7,25,.219,-16.75,-4.06,,3,11,,5,10,,1,11,,2145,2445,,68.4,111.6,.296,.358,.584,54.4,48.8,9.7,7.8,.561,16.3,31.1,.210
133,Indiana State,31,11,20,.355,-3.15,2.28,,4,14,,8,6,,2,11,,2184,2230,,69.4,101.5,.250,.365,.534,50.7,47.5,9.1,10.9,.504,14.5,22.0,.188
134,Indiana NCAA,34,21,13,.618,13.90,8.28,,9,11,,14,4,,3,8,,2425,2234,,67.9,95.8,.309,.402,.501,47.9,47.5,9.6,6.9,.458,15.6,24.9,.234
135,Iona,32,25,7,.781,5.12,-1.85,,17,3,,13,0,,7,4,,2408,2185,,70.2,96.6,.341,.330,.503,48.7,47.5,9.9,8.3,.464,16.5,29.4,.241
136,Iowa State NCAA,32,20,12,.625,12.43,8.96,,7,11,,14,5,,4,6,,2127,2016,,67.2,93.0,.363,.374,.524,50.8,52.3,10.7,11.3,.484,21.7,28.5,.261
137,Iowa NCAA,35,26,9,.743,19.82,7.33,,12,8,,15,3,,6,6,,2932,2495,,70.4,100.6,.262,.365,.525,49.1,54.5,7.5,7.4,.498,16.7,30.0,.185
138,Purdue-Fort Wayne,32,21,11,.656,-5.01,-6.87,,15,6,,14,2,,6,7,,2359,2211,,69.4,98.0,.261,.402,.548,51.9,50.7,8.6,9.2,.522,20.1,26.6,.188
139,IUPUI,29,3,26,.103,-23.31,-6.23,,1,16,,2,11,,1,13,,1521,1946,,63.4,105.8,.359,.411,.556,51.0,52.9,12.0,9.1,.518,18.0,31.7,.266
