,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brigham Young NCAA,26,20,6,.769,14.53,5.81,,10,3,,11,2,,7,2,,2047,1780,,70.5,95.7,.296,.351,.497,45.2,47.1,8.9,5.4,.466,14.4,22.9,.203
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,.714,1.00,-5.75,,10,4,,10,1,,5,5,,1761,1571,,76.7,97.6,.266,.386,.495,48.5,52.8,9.4,9.9,.464,15.1,29.7,.188
34,Bucknell,12,5,7,.417,-3.70,-1.29,,4,6,,2,3,,3,4,,899,928,,73.1,105.8,.292,.324,.534,52.4,55.1,9.6,9.1,.496,13.7,28.3,.224
35,Buffalo,24,16,8,.667,7.36,-1.16,,12,5,,8,3,,5,3,,1961,1748,,74.4,96.9,.292,.331,.502,44.7,48.9,8.5,6.4,.460,15.4,26.5,.222
36,Butler,25,10,15,.400,5.73,10.89,,8,12,,8,4,,1,9,,1588,1717,,65.1,103.9,.285,.376,.555,51.2,54.5,7.7,11.0,.530,16.6,25.2,.200
37,Cal Poly,24,4,20,.167,-15.02,-2.97,,1,15,,3,8,,0,11,,1477,1700,,68.5,102.9,.359,.336,.535,53.6,51.8,10.5,9.2,.499,16.2,28.8,.254
38,Cal State Bakersfield,26,15,11,.577,-1.73,-3.98,,11,7,,9,2,,6,8,,1811,1665,,65.7,97.1,.402,.410,.536,43.8,56.3,8.8,6.7,.497,19.2,25.5,.284
39,Cal State Fullerton,16,6,10,.375,-7.88,-4.61,,5,9,,5,4,,1,5,,1232,1257,,72.7,107.3,.273,.345,.567,52.4,57.6,9.3,8.7,.543,16.7,29.0,.193
40,Cal State Northridge,22,9,13,.409,-10.23,-3.51,,5,9,,4,7,,4,4,,1586,1709,,70.9,109.0,.331,.400,.575,53.0,54.7,8.4,6.3,.540,16.4,28.8,.252
41,California Baptist,23,13,10,.565,-6.44,-6.23,,6,6,,11,4,,2,5,,1820,1674,,71.1,101.8,.355,.332,.527,46.9,52.7,8.9,6.7,.499,14.8,25.2,.233
42,UC-Davis,18,10,8,.556,-7.30,-5.71,,7,5,,4,3,,4,3,,1295,1289,,70.7,99.3,.400,.350,.563,51.1,53.1,8.6,8.7,.527,21.1,27.4,.286
43,UC-Irvine,27,18,9,.667,1.92,-2.40,,13,4,,10,1,,6,6,,1950,1712,,69.2,90.8,.276,.400,.485,44.6,55.2,10.1,5.2,.452,16.9,23.6,.194
44,UC-Riverside,22,14,8,.636,2.51,-4.03,,10,5,,5,4,,7,3,,1544,1400,,66.8,94.2,.285,.350,.490,47.5,47.4,7.3,8.1,.458,14.6,23.8,.197
45,UC-San Diego,17,7,10,.412,-8.54,-0.61,,4,10,,7,3,,0,7,,1214,1226,,70.2,102.0,.213,.335,.539,56.2,55.6,9.7,9.1,.517,17.4,29.7,.152
