,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,27,23,4,.852,6.11,-8.46,,13,2,,13,0,,5,4,,2096,1634,,1080,556,1390,.400,147,481,.306,375,549,.683,247,912,269,179,97,547,549
2,Air Force,25,5,20,.200,-13.06,0.14,,3,17,,3,8,,1,10,,1468,1798,,1000,654,1309,.500,194,530,.366,296,430,.688,258,865,368,150,53,348,418
3,Akron,23,15,8,.652,2.63,-1.18,,12,6,,9,1,,5,5,,1798,1660,,930,621,1435,.433,151,486,.311,267,375,.712,253,837,279,129,51,274,422
4,Alabama A&M,15,6,9,.400,-19.25,-15.38,,4,9,,5,2,,1,7,,950,1008,,610,350,891,.393,84,297,.283,224,333,.673,172,582,188,121,40,192,251
5,Alabama-Birmingham,29,22,7,.759,5.88,-3.76,,13,5,,15,2,,6,4,,2105,1748,,1160,633,1566,.404,181,569,.318,301,434,.694,252,994,310,122,105,478,477
6,Alabama State,18,4,14,.222,-24.74,-17.40,,4,14,,3,6,,1,8,,1156,1288,,720,456,1042,.438,108,332,.325,268,385,.696,188,677,227,139,75,268,388
7,Alabama NCAA,30,24,6,.800,20.18,10.38,,16,2,,12,1,,7,3,,2387,2093,,1200,753,1860,.405,180,625,.288,407,593,.686,357,1167,331,240,145,475,549
8,Albany (NY),16,7,9,.438,-3.70,-4.39,,6,6,,4,5,,2,4,,1110,1099,,640,402,894,.450,114,330,.345,181,262,.691,139,522,196,90,64,233,295
9,Alcorn State,19,6,13,.316,-19.96,-10.44,,6,7,,4,3,,2,9,,1256,1437,,760,483,992,.487,134,387,.346,337,497,.678,175,663,280,128,79,299,338
10,American,10,4,6,.400,-2.45,2.05,,4,5,,2,2,,2,4,,691,736,,420,268,584,.459,50,172,.291,150,224,.670,106,351,117,85,25,125,156
11,Appalachian State NCAA,28,17,11,.607,-5.32,-5.23,,7,8,,9,4,,4,7,,1986,1806,,1145,669,1590,.421,195,604,.323,273,385,.709,264,985,336,154,121,395,493
12,Arizona State,25,11,14,.440,5.36,8.12,,7,10,,7,6,,2,6,,1858,1927,,1010,671,1460,.460,192,530,.362,393,527,.746,257,990,373,139,80,380,455
13,Arizona,26,17,9,.654,12.68,5.83,,11,9,,12,4,,5,5,,1961,1783,,1050,631,1470,.429,184,539,.341,337,477,.706,220,812,292,140,72,322,524
14,Little Rock,26,11,15,.423,-6.30,-5.34,,7,11,,7,4,,2,8,,1786,1782,,1050,645,1476,.437,201,582,.345,291,402,.724,241,820,347,172,77,362,482
