,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
15,Arkansas-Pine Bluff,25,4,21,.160,-22.89,-8.01,,3,12,,2,3,,2,17,,1549,1921,,1010,680,1434,.474,191,478,.400,370,549,.674,263,922,404,207,95,322,472
16,Arkansas State,24,11,13,.458,-7.94,-5.85,,7,8,,9,3,,1,9,,1741,1667,,965,608,1431,.425,160,479,.334,291,393,.740,239,806,294,163,101,301,425
17,Arkansas NCAA,28,22,6,.786,18.07,6.36,,13,4,,16,1,,5,4,,2307,1979,,1125,712,1716,.415,210,645,.326,345,503,.686,279,1000,331,189,102,430,529
18,Army,21,12,9,.571,4.67,4.77,,7,7,,5,5,,5,3,,1511,1452,,845,533,1219,.437,178,501,.355,208,290,.717,176,741,273,146,68,291,355
19,Auburn,27,13,14,.481,10.29,9.55,,7,11,,8,5,,3,8,,2084,2064,,1090,748,1708,.438,198,606,.327,370,540,.685,329,980,340,236,101,369,535
20,Austin Peay,27,14,13,.519,-6.28,-7.84,,10,10,,8,5,,4,6,,2007,1890,,1090,687,1457,.472,194,541,.359,322,477,.675,249,856,312,210,70,436,489
21,Ball State,23,10,13,.435,-1.26,-0.52,,8,9,,7,4,,3,8,,1719,1736,,930,611,1419,.431,167,538,.310,347,506,.686,272,867,288,168,60,288,409
22,Baylor NCAA,24,22,2,.917,23.32,5.36,,13,1,,11,0,,7,1,,2025,1594,,965,575,1329,.433,155,456,.340,289,421,.686,254,769,297,148,92,416,401
23,Bellarmine,20,13,7,.650,-1.95,-6.22,,10,3,,6,4,,7,2,,1486,1307,,800,458,1024,.447,192,503,.382,199,283,.703,164,574,258,103,54,306,318
24,Belmont,30,26,4,.867,3.90,-8.28,,18,2,,11,1,,10,2,,2439,2074,,1205,773,1813,.426,223,660,.338,305,448,.681,307,1054,386,189,110,441,489
25,Binghamton,18,4,14,.222,-11.44,-4.56,,4,10,,1,9,,3,5,,1178,1302,,735,466,1037,.449,137,373,.367,233,325,.717,171,637,217,121,45,199,283
26,Boise State,26,18,8,.692,9.58,0.82,,14,6,,11,1,,6,6,,1981,1725,,1045,629,1476,.426,167,514,.325,300,405,.741,210,847,287,136,60,377,501
27,Boston College,20,4,16,.200,1.69,9.84,,2,11,,3,5,,0,7,,1427,1590,,805,593,1208,.491,154,435,.354,250,351,.712,193,743,297,136,68,267,347
28,Boston University,18,7,11,.389,1.11,5.67,,6,10,,2,6,,5,5,,1249,1331,,720,495,1048,.472,132,367,.360,209,312,.670,159,605,236,116,47,185,305
29,Bowling Green State,25,14,11,.560,0.88,-1.45,,10,8,,4,7,,10,3,,1963,1886,,1010,682,1525,.447,203,596,.341,319,452,.706,269,974,338,133,96,348,427
30,Bradley,28,12,16,.429,0.46,1.31,,6,12,,8,6,,2,9,,1948,1864,,1130,654,1570,.417,253,683,.370,303,457,.663,258,944,360,182,59,336,395
31,Brigham Young NCAA,26,20,6,.769,14.53,5.81,,10,3,,11,2,,7,2,,2047,1780,,1055,641,1569,.409,180,551,.327,318,464,.685,231,846,302,166,51,302,482
32,Brown,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,.714,1.00,-5.75,,10,4,,10,1,,5,5,,1761,1571,,840,576,1408,.409,155,544,.285,264,375,.704,264,796,304,151,78,282,403
34,Bucknell,12,5,7,.417,-3.70,-1.29,,4,6,,2,3,,3,4,,899,928,,480,334,763,.438,89,247,.360,171,223,.767,128,443,184,84,38,138,210
35,Buffalo,24,16,8,.667,7.36,-1.16,,12,5,,8,3,,5,3,,1961,1748,,970,632,1530,.413,144,507,.284,340,446,.762,252,853,309,153,71,316,415
36,Butler,25,10,15,.400,5.73,10.89,,8,12,,8,4,,1,9,,1588,1717,,1015,633,1362,.465,179,512,.350,272,388,.701,194,848,345,128,92,307,418
37,Cal Poly,24,4,20,.167,-15.02,-2.97,,1,15,,3,8,,0,11,,1477,1700,,965,597,1358,.440,161,456,.353,345,487,.708,239,899,309,174,76,308,413
38,Cal State Bakersfield,26,15,11,.577,-1.73,-3.98,,11,7,,9,2,,6,8,,1811,1665,,1045,556,1303,.427,183,534,.343,370,524,.706,209,746,313,151,75,369,419
39,Cal State Fullerton,16,6,10,.375,-7.88,-4.61,,5,9,,5,4,,1,5,,1232,1257,,645,467,982,.476,133,339,.392,190,268,.709,158,579,269,109,53,222,306
40,Cal State Northridge,22,9,13,.409,-10.23,-3.51,,5,9,,4,7,,4,4,,1586,1709,,885,601,1284,.468,184,514,.358,323,425,.760,211,824,329,131,52,291,397
41,California Baptist,23,13,10,.565,-6.44,-6.23,,6,6,,11,4,,2,5,,1820,1674,,925,600,1359,.442,157,451,.348,317,482,.658,213,754,316,147,53,275,437
42,UC-Davis,18,10,8,.556,-7.30,-5.71,,7,5,,4,3,,4,3,,1295,1289,,735,448,962,.466,118,337,.350,275,385,.714,155,597,238,112,61,307,358
43,UC-Irvine,27,18,9,.667,1.92,-2.40,,13,4,,10,1,,6,6,,1950,1712,,1090,603,1559,.387,204,624,.327,302,430,.702,236,862,333,190,64,358,459
44,UC-Riverside,22,14,8,.636,2.51,-4.03,,10,5,,5,4,,7,3,,1544,1400,,890,506,1258,.402,140,440,.318,248,359,.691,190,723,240,108,60,244,322
45,UC-San Diego,17,7,10,.412,-8.54,-0.61,,4,10,,7,3,,0,7,,1214,1226,,685,473,1033,.458,123,346,.355,157,220,.714,170,642,263,117,43,239,240
46,UC-Santa Barbara NCAA,26,22,4,.846,5.99,-4.35,,15,3,,11,0,,8,4,,1989,1633,,1050,597,1422,.420,150,450,.333,289,386,.749,195,773,270,120,55,365,465
47,University of California,29,9,20,.310,2.46,7.32,,3,17,,6,8,,1,11,,1897,2008,,1160,723,1557,.464,190,508,.374,372,521,.714,220,941,372,178,82,336,495
48,Campbell,27,17,10,.630,-6.27,-6.79,,11,6,,9,3,,6,7,,1917,1840,,1095,673,1466,.459,171,555,.308,323,447,.723,261,894,294,153,60,389,482
49,Canisius,13,7,6,.538,-7.86,-7.09,,7,5,,3,1,,4,4,,915,925,,520,338,747,.452,79,232,.341,170,236,.720,117,475,149,70,45,188,236
50,Central Arkansas,24,5,19,.208,-15.03,-2.16,,4,12,,4,5,,1,14,,1701,1933,,960,694,1527,.454,218,587,.371,327,446,.733,245,850,397,224,81,285,414
51,Central Connecticut State,21,5,16,.238,-13.07,-4.21,,5,13,,3,6,,2,9,,1439,1625,,840,592,1260,.470,174,495,.352,267,383,.697,235,821,339,162,62,303,338
52,Central Florida,23,11,12,.478,6.03,8.25,,8,10,,6,3,,4,8,,1546,1597,,925,564,1311,.430,165,504,.327,304,440,.691,252,801,321,159,61,307,378
53,Central Michigan,23,7,16,.304,-11.71,-3.56,,3,13,,5,7,,2,9,,1766,1835,,920,668,1466,.456,201,582,.345,298,395,.754,260,890,351,145,87,320,444
54,Charleston Southern,21,3,18,.143,-16.16,-5.66,,2,15,,1,9,,2,8,,1375,1550,,845,555,1251,.444,160,466,.343,280,425,.659,248,793,273,185,79,276,368
55,Charlotte,25,9,16,.360,-5.34,-2.09,,5,11,,6,7,,3,8,,1587,1668,,1025,622,1387,.448,175,536,.326,249,326,.764,196,798,332,173,88,311,398
56,Chattanooga,26,18,8,.692,-1.11,-2.48,,9,7,,9,3,,9,4,,1888,1801,,1050,688,1510,.456,178,537,.331,247,351,.704,215,907,338,135,98,344,415
57,Chicago State,9,0,9,.000,-31.33,1.90,,0,0,,0,0,,0,7,,499,798,,360,295,558,.529,81,205,.395,127,183,.694,110,382,174,58,26,104,132
58,Cincinnati,23,12,11,.522,4.22,7.44,,8,6,,5,5,,5,5,,1585,1659,,920,568,1300,.437,153,456,.336,370,492,.752,199,795,319,158,84,305,401
59,Citadel,25,13,12,.520,-5.58,-0.96,,5,11,,11,3,,1,8,,2019,1959,,1000,727,1626,.447,175,562,.311,330,435,.759,236,931,324,175,74,281,462
60,Clemson NCAA,23,16,7,.696,13.50,10.20,,10,6,,11,1,,2,5,,1502,1426,,925,506,1207,.419,165,488,.338,249,357,.697,200,746,258,151,69,324,353
61,Cleveland State NCAA,26,19,7,.731,-4.17,-5.05,,16,4,,9,2,,8,5,,1858,1835,,1065,622,1471,.423,192,624,.308,399,547,.729,294,918,330,166,71,364,432
62,Coastal Carolina,23,16,7,.696,-2.15,-8.15,,9,5,,12,1,,3,5,,1836,1535,,925,534,1394,.383,197,640,.308,270,403,.670,249,768,291,180,52,323,408
63,Colgate NCAA,15,14,1,.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,605,388,951,.408,92,352,.261,161,238,.676,154,523,166,75,42,181,267
64,College of Charleston,19,9,10,.474,-4.10,-2.28,,6,4,,8,6,,1,3,,1341,1329,,780,465,1045,.445,150,416,.361,249,344,.724,162,638,241,91,57,222,308
65,Colorado State,24,18,6,.750,8.56,-0.49,,14,4,,10,1,,6,4,,1791,1571,,960,569,1390,.409,186,615,.302,247,385,.642,233,792,305,150,78,329,449
66,Colorado NCAA,30,22,8,.733,16.74,6.98,,14,6,,11,1,,6,6,,2191,1898,,1200,687,1641,.419,190,571,.333,334,460,.726,259,923,330,137,86,393,498
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,.682,17.12,9.21,,11,6,,7,3,,6,3,,1596,1422,,885,492,1200,.410,125,396,.316,313,443,.707,230,733,229,121,59,288,378
69,Coppin State,22,9,13,.409,-11.28,-4.97,,8,4,,5,3,,4,9,,1602,1741,,880,627,1506,.416,189,614,.308,298,407,.732,304,1027,306,159,62,357,451
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,.714,17.59,8.91,,14,6,,11,3,,7,4,,2155,1912,,1130,694,1709,.406,214,667,.321,310,439,.706,304,1022,356,160,81,350,451
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.67,4.07,,7,4,,7,4,,4,2,,1518,1336,,845,472,1125,.420,155,464,.334,237,325,.729,151,630,226,99,49,221,339
74,Dayton,23,14,9,.609,7.46,4.94,,9,7,,8,3,,4,6,,1614,1556,,945,579,1368,.423,164,516,.318,234,365,.641,241,752,288,128,68,275,394
75,Delaware State,19,3,16,.158,-23.00,-5.23,,1,11,,3,6,,0,10,,1345,1629,,765,554,1183,.468,161,452,.356,360,509,.707,223,781,300,161,77,280,349
76,Delaware,15,7,8,.467,-4.23,-4.09,,5,4,,6,3,,1,4,,1013,1012,,600,361,856,.422,101,294,.344,189,263,.719,138,494,160,97,39,172,269
77,Denver,21,2,19,.095,-17.24,-6.64,,1,13,,2,10,,0,9,,1466,1662,,850,560,1174,.477,173,453,.382,369,479,.770,171,722,237,136,70,286,418
78,DePaul,19,5,14,.263,3.62,9.78,,2,13,,2,8,,2,5,,1250,1367,,770,470,1127,.417,141,457,.309,286,398,.719,225,715,262,139,75,274,306
79,Detroit Mercy,22,12,10,.545,-2.84,-5.39,,10,6,,7,5,,5,5,,1683,1627,,885,607,1311,.463,205,557,.368,208,294,.707,212,746,377,120,59,279,353
80,Dixie State,21,8,13,.381,-14.99,-4.42,,4,10,,5,7,,3,6,,1461,1603,,840,581,1285,.452,143,467,.306,298,449,.664,246,836,309,155,75,307,407
81,Drake NCAA,29,25,4,.862,9.53,-1.65,,15,3,,14,1,,9,2,,2245,1875,,1170,677,1604,.422,184,582,.316,337,458,.736,247,897,309,160,83,375,414
82,Drexel NCAA,19,12,7,.632,0.26,-4.37,,4,5,,3,2,,4,5,,1358,1270,,760,468,1061,.441,117,365,.321,217,289,.751,153,556,195,118,60,205,295
83,Duke,24,13,11,.542,14.04,9.33,,9,9,,8,5,,3,6,,1824,1711,,970,623,1368,.455,157,441,.356,308,436,.706,236,809,304,152,93,332,362
84,Duquesne,18,9,9,.500,3.47,3.64,,7,7,,5,2,,2,5,,1205,1208,,720,422,1011,.417,112,395,.284,252,359,.702,193,649,240,122,56,241,298
85,East Carolina,19,8,11,.421,1.13,3.97,,2,10,,7,6,,1,4,,1269,1291,,765,437,1032,.423,141,439,.321,276,388,.711,174,681,245,126,61,277,330
86,East Tennessee State,25,13,12,.520,2.07,0.73,,8,7,,8,4,,3,5,,1736,1654,,1005,573,1370,.418,211,617,.342,297,429,.692,223,823,321,161,77,344,421
87,Eastern Illinois,27,9,18,.333,-12.26,-6.75,,6,14,,5,7,,4,11,,1874,2023,,1095,722,1601,.451,217,597,.363,362,497,.728,276,985,400,200,80,361,408
88,Eastern Kentucky,29,22,7,.759,-2.22,-7.77,,15,5,,10,2,,9,4,,2372,2137,,1180,770,1735,.444,201,619,.325,396,546,.725,305,1144,442,179,81,555,479
89,Eastern Michigan,18,6,12,.333,-13.50,-0.50,,3,11,,5,4,,1,8,,1267,1362,,720,506,1057,.479,169,455,.371,181,268,.675,176,679,320,108,41,278,297
90,Eastern Washington NCAA,23,16,7,.696,2.42,-5.49,,12,3,,7,2,,6,5,,1795,1597,,920,583,1408,.414,154,499,.309,277,385,.719,220,793,258,131,50,273,422
91,Elon,19,10,9,.526,-4.47,-3.58,,4,7,,4,2,,3,6,,1249,1235,,760,421,985,.427,129,405,.319,264,402,.657,136,635,185,119,62,235,301
92,Evansville,25,9,16,.360,-4.71,0.13,,7,11,,8,4,,1,10,,1619,1740,,1015,645,1255,.514,150,366,.410,300,431,.696,165,800,280,129,56,289,399
93,Fairfield,27,10,17,.370,-10.71,-5.82,,7,11,,4,8,,3,8,,1668,1800,,1090,663,1517,.437,165,506,.326,309,466,.663,248,926,330,165,94,290,508
94,Fairleigh Dickinson,24,9,15,.375,-8.39,-4.68,,8,10,,4,6,,5,9,,1801,1890,,970,680,1460,.466,188,562,.335,342,495,.691,282,889,397,168,80,337,412
95,Florida A&M,20,8,12,.400,-11.95,-9.15,,7,5,,4,1,,4,10,,1314,1370,,800,496,1161,.427,120,421,.285,258,393,.656,233,708,239,147,53,304,347
96,Florida Atlantic,23,13,10,.565,-1.85,-4.74,,7,5,,7,1,,4,7,,1796,1537,,925,533,1288,.414,160,470,.340,311,447,.696,193,749,239,125,60,327,392
97,Florida Gulf Coast,18,10,8,.556,-9.45,-6.95,,4,4,,7,4,,2,2,,1292,1242,,720,461,1095,.421,128,409,.313,192,279,.688,191,675,213,128,63,260,284
98,Florida International,26,9,17,.346,-10.96,-3.01,,2,15,,7,8,,2,9,,1914,1985,,1055,725,1535,.472,175,486,.360,360,505,.713,285,995,335,183,72,431,393
99,Florida State NCAA,22,16,6,.727,17.98,9.39,,11,4,,12,1,,3,4,,1736,1547,,890,514,1290,.398,172,516,.333,347,468,.741,259,722,254,158,63,306,365
100,Florida NCAA,23,14,9,.609,14.91,10.78,,9,7,,6,3,,5,5,,1701,1606,,920,566,1344,.421,145,475,.305,329,468,.703,265,785,293,171,81,334,409
101,Fordham,14,2,12,.143,-10.44,4.34,,2,11,,2,5,,0,6,,725,932,,560,332,763,.435,122,365,.334,146,212,.689,140,539,217,95,37,173,210
102,Fresno State,24,12,12,.500,-3.52,0.11,,9,11,,7,5,,4,6,,1591,1618,,965,567,1309,.433,175,501,.349,309,422,.732,202,774,264,160,76,314,447
103,Furman,25,16,9,.640,6.49,-1.19,,10,5,,11,1,,5,7,,1990,1723,,1005,635,1440,.441,181,559,.324,272,423,.643,228,825,326,179,69,370,366
104,Gardner-Webb,26,11,15,.423,-3.28,-5.55,,10,10,,7,4,,4,11,,1837,1778,,1040,598,1434,.417,199,583,.341,383,523,.732,256,913,334,142,82,317,429
105,George Mason,22,13,9,.591,3.01,1.58,,8,6,,7,3,,3,4,,1569,1538,,905,558,1275,.438,162,456,.355,260,359,.724,186,774,247,144,57,310,370
106,George Washington,17,5,12,.294,-4.56,-0.38,,3,5,,3,6,,1,5,,1158,1229,,685,463,1034,.448,129,377,.342,174,258,.674,178,598,252,122,62,197,274
107,Georgetown NCAA,25,13,12,.520,11.73,11.05,,7,9,,7,6,,2,6,,1784,1767,,1005,645,1553,.415,201,617,.326,276,402,.687,268,877,363,194,70,286,430
108,Georgia Southern,26,13,13,.500,-9.73,-5.77,,7,9,,9,4,,4,8,,1860,1762,,1070,622,1469,.423,201,575,.350,317,448,.708,258,894,274,186,72,410,435
109,Georgia State,22,16,6,.727,-1.21,-4.11,,8,4,,9,1,,5,4,,1767,1599,,900,554,1342,.413,185,547,.338,306,439,.697,265,814,268,138,63,324,384
110,Georgia Tech NCAA,25,17,8,.680,14.07,8.55,,11,6,,11,3,,4,5,,1888,1750,,1025,643,1402,.459,178,486,.366,286,405,.706,239,860,350,136,73,397,385
111,Georgia,26,14,12,.538,7.04,8.44,,7,11,,12,5,,2,6,,2014,2027,,1045,736,1609,.457,204,601,.339,351,499,.703,300,943,355,223,116,431,500
112,Gonzaga NCAA,26,26,0,1.000,26.38,3.38,,15,0,,12,0,,7,0,,2395,1797,,1040,665,1589,.419,178,548,.325,289,411,.703,225,796,298,156,75,397,521
113,Grambling,24,12,12,.500,-14.78,-13.00,,9,6,,6,4,,5,7,,1617,1649,,965,558,1399,.399,181,533,.340,352,529,.665,271,879,348,184,109,359,441
114,Grand Canyon NCAA,23,17,6,.739,3.81,-5.79,,9,3,,10,3,,5,1,,1738,1405,,920,492,1306,.377,158,548,.288,263,373,.705,189,695,224,132,45,273,415
115,Green Bay,25,8,17,.320,-9.38,-4.46,,8,12,,6,6,,2,11,,1790,1913,,1030,695,1468,.473,182,503,.362,341,468,.729,241,899,312,142,67,294,406
116,Hampton,25,11,14,.440,-13.02,-8.62,,9,9,,5,7,,6,7,,1721,1831,,1000,637,1487,.428,190,562,.338,367,527,.696,301,992,318,161,68,314,379
117,Hartford NCAA,23,15,8,.652,-2.76,-5.36,,8,6,,10,1,,5,6,,1515,1455,,920,543,1300,.418,152,529,.287,217,325,.668,231,797,262,123,77,312,372
118,Harvard,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
119,Hawaii,21,11,10,.524,-4.52,-4.26,,9,9,,7,5,,4,4,,1503,1452,,855,541,1220,.443,121,370,.327,249,342,.728,174,674,220,148,58,254,383
120,High Point,24,9,15,.375,-10.16,-6.95,,6,11,,5,5,,4,10,,1600,1677,,965,582,1311,.444,209,589,.355,304,447,.680,225,817,339,150,102,327,462
121,Hofstra,23,13,10,.565,-1.80,-1.98,,8,6,,7,3,,5,6,,1683,1679,,925,618,1383,.447,178,527,.338,265,357,.742,234,816,373,136,72,277,420
122,Holy Cross,16,5,11,.313,-0.17,5.27,,5,11,,2,7,,3,4,,1130,1217,,645,436,934,.467,110,309,.356,235,329,.714,171,587,212,111,51,210,254
123,Houston Baptist,25,6,19,.240,-16.93,-5.93,,4,11,,4,6,,1,12,,1776,2007,,1005,740,1573,.470,208,605,.344,319,444,.718,281,952,391,224,79,356,446
124,Houston NCAA,27,24,3,.889,22.16,4.16,,14,3,,15,0,,5,3,,2096,1562,,1080,517,1396,.370,146,531,.275,382,580,.659,274,864,269,135,68,395,462
125,Howard,5,1,4,.200,-13.77,-2.02,,0,0,,1,1,,0,0,,363,424,,200,156,333,.468,49,137,.358,63,101,.624,60,198,98,41,15,44,97
126,Idaho State,24,13,11,.542,-9.83,-7.14,,8,6,,8,3,,5,5,,1637,1481,,970,524,1297,.404,140,409,.342,293,428,.685,203,712,234,173,45,312,496
127,Idaho,22,1,21,.045,-19.82,-4.41,,1,17,,1,9,,0,11,,1343,1682,,890,588,1244,.473,174,457,.381,332,445,.746,213,753,286,196,67,257,368
128,Illinois-Chicago,22,9,13,.409,-11.38,-6.75,,6,10,,7,4,,2,9,,1489,1591,,890,587,1333,.440,107,356,.301,310,452,.686,219,818,261,141,55,220,326
129,Illinois State,25,7,18,.280,-5.23,0.60,,4,14,,3,8,,3,9,,1799,1870,,1015,692,1546,.448,198,641,.309,288,398,.724,238,899,398,175,62,299,368
130,Illinois NCAA,29,23,6,.793,24.82,12.65,,16,4,,11,2,,9,3,,2361,2008,,1175,725,1760,.412,190,581,.327,368,537,.685,245,880,321,194,112,336,582
131,Incarnate Word,22,8,14,.364,-16.08,-8.50,,5,9,,5,7,,3,6,,1495,1578,,885,586,1264,.464,126,413,.305,280,409,.685,227,770,313,147,67,282,385
132,Indiana State,25,15,10,.600,2.24,2.11,,11,7,,9,3,,5,6,,1662,1645,,1000,607,1347,.451,174,512,.340,257,368,.698,212,832,332,129,66,367,444
133,Indiana,27,12,15,.444,13.83,13.50,,7,12,,6,6,,3,7,,1882,1873,,1115,655,1539,.426,193,578,.334,370,516,.717,260,973,319,159,98,330,534
134,Iona NCAA,17,12,5,.706,-0.86,-7.15,,6,3,,4,2,,4,3,,1228,1121,,680,363,910,.399,104,345,.301,291,421,.691,158,535,197,125,43,233,330
135,Iowa State,24,2,22,.083,-0.53,10.60,,0,18,,2,10,,0,11,,1574,1841,,960,652,1408,.463,159,482,.330,378,510,.741,273,913,318,194,78,312,333
136,Iowa NCAA,29,21,8,.724,23.19,11.36,,14,6,,14,2,,6,4,,2429,2086,,1165,772,1864,.414,257,739,.348,285,422,.675,336,1075,462,155,88,337,541
137,Purdue-Fort Wayne,23,8,15,.348,-11.39,-7.87,,6,14,,5,6,,3,9,,1728,1809,,955,650,1416,.459,187,557,.336,322,431,.747,242,741,325,179,54,282,364
138,IUPUI,18,8,10,.444,-10.89,-6.28,,7,9,,4,5,,4,5,,1281,1364,,720,493,1039,.474,110,361,.305,268,365,.734,149,642,232,122,38,247,288
139,Jackson State,18,12,6,.667,-11.54,-14.32,,11,0,,6,0,,5,5,,1181,1131,,730,385,978,.394,84,277,.303,277,402,.689,171,631,174,119,58,283,334
140,Jacksonville State,27,18,9,.667,-2.60,-5.64,,13,6,,8,3,,7,5,,2005,1851,,1095,674,1642,.410,225,686,.328,278,412,.675,287,915,352,166,72,307,447
141,Jacksonville,24,11,13,.458,-10.94,-6.53,,5,9,,7,5,,4,8,,1622,1668,,965,615,1400,.439,182,552,.330,256,370,.692,242,866,312,153,61,351,433
142,James Madison,20,13,7,.650,0.76,-2.30,,8,2,,10,3,,3,3,,1562,1409,,800,480,1165,.412,170,540,.315,279,374,.746,212,741,265,119,64,321,396
143,Kansas State,29,9,20,.310,0.80,9.09,,4,14,,6,12,,2,7,,1792,2037,,1160,720,1566,.460,232,636,.365,365,494,.739,256,955,392,227,90,386,442
144,Kansas NCAA,28,20,8,.714,16.60,10.27,,12,6,,14,1,,4,6,,2047,1841,,1125,664,1635,.406,201,617,.326,310,431,.719,270,962,315,175,81,390,465
145,Kennesaw State,24,5,19,.208,-13.92,-3.44,,1,13,,4,9,,0,9,,1571,1672,,960,606,1341,.452,142,448,.317,318,440,.723,185,814,250,166,58,306,417
146,Kent State,23,15,8,.652,2.48,-1.16,,12,6,,9,2,,6,5,,1764,1635,,925,585,1385,.422,190,550,.345,275,390,.705,235,776,294,154,60,300,391
147,Kentucky,25,9,16,.360,12.44,12.16,,8,9,,5,6,,4,7,,1761,1754,,1010,628,1521,.413,164,525,.312,334,451,.741,286,905,307,154,91,317,456
148,La Salle,25,9,16,.360,-2.26,4.15,,6,11,,6,3,,3,11,,1702,1838,,1005,645,1418,.455,175,534,.328,373,502,.743,243,881,367,180,73,342,362
149,Lafayette,15,9,6,.600,-1.24,-2.24,,9,5,,6,3,,3,3,,1165,1150,,620,422,919,.459,92,277,.332,214,310,.690,156,584,202,76,45,174,263
150,Lamar,28,10,18,.357,-13.24,-6.70,,7,10,,5,5,,3,11,,1843,2026,,1130,747,1645,.454,226,584,.387,306,452,.677,281,1030,420,195,92,394,474
151,Lehigh,15,4,11,.267,-8.71,-0.45,,4,10,,1,5,,3,6,,1025,1149,,605,412,879,.469,111,303,.366,214,288,.743,120,533,212,106,49,182,241
152,Liberty NCAA,28,23,5,.821,4.31,-6.69,,11,2,,13,0,,5,3,,2097,1670,,1120,611,1492,.410,168,539,.312,280,406,.690,195,829,259,147,57,328,390
153,Lipscomb,27,15,12,.556,-6.91,-5.48,,9,6,,10,4,,4,7,,1922,1848,,1085,695,1606,.433,219,685,.320,239,340,.703,256,931,343,159,82,347,434
154,Cal State Long Beach,18,6,12,.333,-9.93,-4.27,,4,8,,4,3,,1,8,,1328,1430,,740,497,1157,.430,151,439,.344,285,405,.704,222,712,247,134,51,242,351
155,Long Island University,18,9,9,.500,-5.73,-6.79,,9,9,,6,3,,3,6,,1332,1313,,720,485,1095,.443,123,384,.320,220,311,.707,185,674,253,119,52,280,320
